=== Domain C: hyperspectral imaging for automated plastic waste sorting in circular economy facilities ===
=== Section 3_2: Management structure and procedures ===

2.3 Management structure and procedures  
a. Organisational structure and decision-making, including monitoring of milestones: The diagram in Figure 3.4 illustrates the organisational structure of our project. The Project Coordinator (PC) is responsible for the timely and efficient implementation of the project, as well as for its overall financial and scientific management. The PC will be the main point of contact with the EC. A Steering Committee (SC) will be established, including one representative per partner, in order to make important decisions regarding the implementation of the project and to solve any issues that may arise. The SC will be supported by a Management Team (MT) consisting of the Project Coordinator, Project Manager (PM), and Scientific Manager (SM). The PM and SM will be in charge of the day-to-day management of the project and will report directly to the PC. The PM will be responsible for the financial monitoring, while the SM will be responsible for the technical monitoring. A Project Office (PO) will be established as the main contact point for all consortium members and as the main interface between the project consortium and the EC. The PO will be responsible for the day-to-day management of the project, including the organisation of all project meetings and the preparation of all reports. Finally, the Project Technical Coordinator (PTC) will be in charge of the coordination of the technical activities. The main instrument for the monitoring of the project will be the deliverables and milestones.  
b. Critical risks and mitigation measures: In the following, we present the critical risks related to our project (Table 3.2), as well as the mitigation measures to reduce the probability of their occurrence.  
Table 3.2. Critical risks and mitigation measures  
Risk description | Risk level | Mitigation measures  
Failure to achieve the TRL 5 of the proposed plastic sorting technology | High | We have scheduled periodic technical reviews to identify possible delays and take corrective actions.  
Failure to reach the required sorting purity | Medium | We have included in our project partners with significant expertise in plastic sorting, and we will dedicate a significant effort in the project to improve the sorting purity.  
Failure to reach the required sorting speed | Medium | We will work closely with the industry to understand their needs and to adapt the sorting speed to the market needs.  
Failure to reach the required sorting efficiency | Medium | We will work closely with the industry to understand their needs and to adapt the sorting efficiency to the market needs.  
Failure to achieve the required sensitivity of the NIR detectors | Medium | We will work closely with the industry to understand their needs and to adapt the sensitivity of the NIR detectors to the market needs.  
Failure to achieve the required resolution of the hyperspectral imaging systems | Medium | We will work closely with the industry to understand their needs and to adapt the resolution of the hyperspectral imaging systems to the market needs.  
Failure to achieve the required speed of the data processing algorithms | Medium | We will work closely with the industry to understand their needs and to adapt the speed of the data processing algorithms to the market needs.  
Failure to achieve the required speed of the data transmission | Medium | We will work closely with the industry to understand their needs and to adapt the speed of the data transmission to the market needs.  
Failure to achieve the required sorting accuracy | Medium | We will work closely with the industry to understand their needs and to adapt the sorting accuracy to the market needs.  
Failure to achieve the required sorting reliability | Medium | We will work closely with the industry to understand their needs and to adapt the sorting reliability to the market needs.  
Failure to achieve the required sorting robustness | Medium | We will work closely with the industry to understand their needs and to adapt the sorting robustness to the market needs.  
Failure to achieve the required sorting cost | Medium | We will work closely with the industry to understand their needs and to adapt the sorting cost to the market needs.  
Failure to achieve the required sorting dimensions | Medium | We will work closely with the industry to understand their needs and to adapt the sorting dimensions to the market needs.  
Failure to achieve the required sorting capacity | Medium | We will work closely with the industry to understand their needs and to adapt the sorting capacity to the market needs.  
Failure to achieve the required sorting flexibility | Medium | We will work closely with the industry to understand their needs and to adapt the sorting flexibility to the market needs.  
Failure to achieve the required sorting safety | Medium | We will work closely with the industry to understand their needs and to adapt the sorting safety to the market needs.  
Failure to achieve the required sorting environmental impact | Medium | We will work closely with the industry to understand their needs and to adapt the sorting environmental impact to the market needs.  
Failure to achieve the required sorting energy consumption | Medium | We will work closely with the industry to understand their needs and to adapt the sorting energy consumption to the market needs.  
Failure to achieve the
